36239,68,113,100,
36359,66,117,106,
36479,71,118,169,
36659,70,115,154,
36841,63,117,196,
37078,66,117,36,
37139,66,117,36,
37199,66,119,50,
37259,63,115,59,
37319,61,118,90,
37439,71,118,173,
37619,70,113,154,
37798,59,119,215,
38039,59,117,34,
38099,59,119,34,
38159,59,114,114,
38281,58,117,41,
38341,58,117,133,
41699,71,118,152,
41879,71,115,34,
41939,71,120,30,
41999,71,117,56,
42058,70,117,54,
42119,66,118,103,
42239,68,118,33,
42299,68,118,34,
42359,68,119,51,
42419,66,119,51,
42481,63,117,102,
42599,66,115,55,
42659,66,115,55,
42719,68,118,53,
42779,70,106,49,
42839,68,117,54,
42899,66,113,59,
42959,63,117,100,
43079,66,118,51,
43139,66,117,46,
43199,68,119,55,
43259,70,118,53,
43319,68,118,53,
43379,66,115,42,
43441,66,117,84,
43559,66,114,36,
43619,66,117,45,
43679,68,117,47,
43739,70,119,25,
43769,70,119,25,
43799,68,118,46,
43859,66,117,45,
43919,68,115,109,
44099,68,117,25,
44130,68,117,25,
44159,68,118,51,
44219,70,113,46,
44279,68,117,53,
44339,66,117,52,
44399,63,115,94,
44519,66,118,41,
44579,66,118,50,
44639,68,115,50,
44699,70,113,25,
44730,70,113,25,
44759,68,115,57,
44819,66,118,39,
44879,63,118,94,
44999,66,117,39,
45059,66,115,44,
45119,68,120,47,
45179,70,118,46,
45239,68,118,50,
45299,66,119,39,
45359,66,115,87,
45479,66,117,37,
45539,66,113,52,
45599,68,118,55,
45659,66,114,54,
45719,68,119,53,
45779,66,117,63,
45839,70,115,161,
46019,71,98,31,
46049,70,109,29,
46079,68,115,262,
46439,63,115,47,
46499,63,115,52,
46559,66,114,84,
46679,63,114,51,
46739,66,113,139,
46919,63,106,49,
46980,66,113,86,
47099,66,114,35,
47159,66,114,45,
47219,66,106,47,
47279,68,118,101,
47399,70,106,98,
47519,68,118,101,
47639,66,109,54,
47699,68,115,110,
47879,66,103,59,
47939,68,115,89,
48059,66,101,41,
48118,68,113,102,
48239,66,119,90,
48359,66,117,94,
48479,71,115,157,
48659,70,119,123,
48842,63,114,224,
49079,66,117,49,
49139,66,117,37,
49199,66,117,47,
49259,63,117,47,
49319,61,117,94,
49439,71,117,161,
49619,70,115,157,
49799,59,115,171,
49979,61,115,184,
50400,70,114,107,
50520,68,109,54,
50580,70,115,154,
50760,68,119,59,
50822,70,117,105,
50942,68,118,38,
